id,hotel,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,average_daily_rate,required_car_parking_spaces,total_of_special_requests,arrival_date
1,Resort_Hotel,3,1,0,1,SC,PRT,Corporate,Corporate,0,0,0,A,I,0,No_Deposit,NULL,337,0,Transient,0,none,0,2017-05-15
2,Resort_Hotel,3,0,1,1,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No_Deposit,NULL,20,0,Transient,135,none,0,2017-08-17
3,Resort_Hotel,4,0,1,1,BB,PRT,Corporate,Corporate,0,0,2,A,D,0,No_Deposit,NULL,94,0,Transient,135,none,0,2017-08-01
4,Resort_Hotel,4,0,1,1,BB,PRT,Corporate,Corporate,0,0,3,A,A,1,No_Deposit,NULL,528,0,Transient,142,parking,0,2017-07-11
5,Resort_Hotel,186,4,6,3,HB,PRT,Direct,Direct,0,0,1,E,E,0,No_Deposit,NULL,NULL,0,Transient,248.1,parking,1,2017-07-15
6,Resort_Hotel,0,1,1,1,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No_Deposit,NULL,47,0,Transient,75,none,0,2017-06-05
7,Resort_Hotel,134,2,10,2,BB,PRT,Direct,Direct,0,0,2,F,F,0,No_Deposit,250,NULL,0,Transient,223.5,parking,4,2017-08-01
8,Resort_Hotel,73,2,6,2,BB,PRT,Offline_TA/TO,TA/TO,0,0,0,D,D,2,No_Deposit,181,NULL,0,Transient,203.75,parking,0,2017-07-21
9,Resort_Hotel,5,3,5,1,SC,ESP,Direct,Direct,0,0,6,F,I,3,No_Deposit,NULL,NULL,0,Transient,0,parking,3,2017-07-24
10,Resort_Hotel,5,0,1,1,BB,PRT,Corporate,Corporate,0,1,12,A,D,1,No_Deposit,NULL,81,0,Transient,45,parking,2,2017-05-30
11,Resort_Hotel,5,1,1,2,BB,PRT,Direct,Direct,0,0,0,A,A,0,No_Deposit,NULL,NULL,0,Transient,139,parking,2,2017-06-19
12,Resort_Hotel,3,0,1,1,BB,PRT,Corporate,Corporate,0,0,4,A,A,0,No_Deposit,NULL,116,0,Transient,75,parking,0,2017-06-01
13,Resort_Hotel,10,1,1,1,BB,PRT,Corporate,Direct,0,0,1,A,D,0,No_Deposit,NULL,530,0,Transient,63.5,parking,0,2017-05-15
14,Resort_Hotel,6,0,1,1,BB,PRT,Corporate,Corporate,0,0,8,A,D,0,No_Deposit,NULL,103,0,Transient,135,none,0,2017-07-26
15,Resort_Hotel,236,4,10,2,BB,PRT,Online_TA,TA/TO,0,0,0,E,E,0,No_Deposit,240,NULL,0,Transient,138,parking,2,2017-06-23
16,Resort_Hotel,157,2,7,2,BB,PRT,Direct,Direct,0,0,4,E,E,0,No_Deposit,NULL,NULL,0,Transient,209.4,parking,4,2017-07-28
17,Resort_Hotel,12,1,1,2,BB,PRT,Direct,Direct,0,0,0,A,A,0,No_Deposit,250,NULL,0,Transient,169,parking,1,2017-07-01
18,Resort_Hotel,1,0,1,1,BB,PRT,Corporate,Corporate,0,2,12,A,E,0,No_Deposit,NULL,135,0,Transient,75,parking,2,2017-05-31
19,Resort_Hotel,0,1,0,1,BB,PRT,Corporate,Corporate,0,2,13,A,A,0,No_Deposit,NULL,135,0,Transient,82,parking,2,2017-06-12
20,Resort_Hotel,0,0,3,2,BB,PRT,Direct,Direct,0,0,0,E,E,3,No_Deposit,NULL,NULL,0,Transient,184.67,none,0,2017-08-29
21,Resort_Hotel,1,0,2,1,BB,PRT,Corporate,Corporate,0,0,3,A,E,0,No_Deposit,NULL,178,0,Transient,75,none,0,2017-06-20
22,Resort_Hotel,4,1,0,1,BB,PRT,Corporate,Corporate,0,0,5,A,D,0,No_Deposit,NULL,62,0,Transient,45,none,0,2017-05-08
23,Resort_Hotel,162,4,6,1,BB,PRT,Direct,Direct,0,0,4,D,D,2,No_Deposit,NULL,NULL,0,Transient,69.3,none,1,2017-06-10
24,Resort_Hotel,2,0,1,1,BB,PRT,Corporate,Corporate,0,1,30,A,A,0,No_Deposit,NULL,204,0,Transient,75,none,1,2017-06-01
25,Resort_Hotel,0,0,1,1,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No_Deposit,NULL,12,0,Transient,75,none,0,2017-06-07
26,Resort_Hotel,74,9,21,1,HB,PRT,Direct,Direct,0,0,2,E,E,0,No_Deposit,NULL,NULL,0,Transient,115,parking,3,2017-07-01
27,Resort_Hotel,0,0,1,2,BB,PRT,Corporate,Corporate,0,0,2,A,D,1,No_Deposit,NULL,16,0,Transient,228,none,0,2017-07-11
28,Resort_Hotel,168,2,2,2,HB,PRT,Offline_TA/TO,TA/TO,0,0,1,D,E,0,No_Deposit,177,NULL,0,Transient,111.6,none,2,2017-07-01
29,Resort_Hotel,163,2,5,2,BB,PRT,Offline_TA/TO,TA/TO,0,0,1,D,D,0,No_Deposit,181,NULL,0,Transient,172,parking,2,2017-08-12
30,Resort_Hotel,124,0,2,2,BB,PRT,Online_TA,TA/TO,0,0,4,E,F,1,No_Deposit,240,NULL,0,Transient,224,parking,3,2017-07-21
31,Resort_Hotel,122,0,2,2,BB,PRT,Online_TA,TA/TO,0,0,5,D,D,0,No_Deposit,240,NULL,0,Transient-Party,253,parking,4,2017-08-04
32,Resort_Hotel,152,0,2,2,BB,PRT,Online_TA,TA/TO,0,0,6,E,F,0,No_Deposit,240,NULL,0,Transient,254,parking,4,2017-08-18
33,Resort_Hotel,2,0,1,3,BB,PRT,Direct,TA/TO,0,0,1,A,A,0,No_Deposit,NULL,NULL,0,Group,107.25,none,2,2017-05-24
34,Resort_Hotel,2,0,1,1,BB,PRT,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,184,NULL,0,Transient,75,none,0,2017-06-01
35,Resort_Hotel,8,0,1,1,BB,PRT,Corporate,Corporate,0,0,3,A,D,0,No_Deposit,NULL,154,0,Transient,75,none,0,2017-06-22
36,Resort_Hotel,13,0,2,1,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No_Deposit,NULL,154,0,Transient,45,none,0,2017-05-02
37,Resort_Hotel,103,4,10,2,BB,PRT,Direct,Direct,0,0,2,E,E,0,No_Deposit,NULL,NULL,0,Transient,205.03,parking,1,2017-07-16
38,Resort_Hotel,80,2,2,2,FB,PRT,Direct,Direct,0,1,0,F,F,1,No_Deposit,250,NULL,0,Transient,195,none,0,2017-06-09
39,Resort_Hotel,172,4,9,2,BB,PRT,Online_TA,TA/TO,0,0,2,D,D,0,No_Deposit,240,NULL,0,Transient,212.31,none,4,2017-08-10
40,Resort_Hotel,120,2,6,2,BB,PRT,Direct,Direct,0,0,2,D,D,1,No_Deposit,250,NULL,0,Transient,144,parking,1,2017-07-01
41,Resort_Hotel,11,1,1,1,BB,PRT,Corporate,Corporate,0,1,13,A,E,0,No_Deposit,NULL,292,0,Transient,48.5,parking,1,2017-05-08
42,Resort_Hotel,17,1,0,1,BB,PRT,Corporate,Corporate,0,2,14,A,F,0,No_Deposit,NULL,292,0,Transient,142,none,1,2017-07-24
43,Resort_Hotel,3,1,3,2,BB,PRT,Direct,Direct,0,0,6,A,A,0,No_Deposit,250,NULL,0,Transient,97.85,none,1,2017-06-01
44,Resort_Hotel,1,0,2,1,BB,PRT,Online_TA,TA/TO,0,0,2,A,A,0,No_Deposit,240,NULL,0,Group,75,none,2,2017-05-23
45,Resort_Hotel,244,4,10,2,BB,GBR,Offline_TA/TO,TA/TO,0,0,0,D,D,0,No_Deposit,40,NULL,0,Contract,82.8,none,2,2017-06-20
46,Resort_Hotel,43,2,4,2,BB,PRT,Direct,Direct,0,0,0,C,A,2,No_Deposit,NULL,NULL,0,Transient,140.7,parking,2,2017-06-10
47,Resort_Hotel,49,2,1,2,BB,PRT,Direct,Direct,0,0,0,A,A,0,No_Deposit,250,NULL,0,Transient-Party,214,parking,0,2017-07-23
48,Resort_Hotel,238,2,5,2,FB,PRT,Offline_TA/TO,TA/TO,0,0,1,E,E,0,No_Deposit,6,NULL,0,Transient,185.6,parking,2,2017-07-17
49,Resort_Hotel,137,2,5,2,HB,PRT,Direct,Direct,0,0,0,D,D,1,No_Deposit,250,NULL,0,Transient,189,none,1,2017-07-08
50,Resort_Hotel,4,1,2,2,BB,PRT,Online_TA,TA/TO,0,0,0,E,E,0,No_Deposit,240,NULL,0,Transient,110,none,0,2017-05-22
51,Resort_Hotel,297,4,5,2,HB,PRT,Direct,Direct,0,0,0,D,D,1,No_Deposit,NULL,NULL,0,Transient,170.95,none,0,2017-08-06
52,Resort_Hotel,106,2,5,3,HB,PRT,Online_TA,TA/TO,0,0,0,D,D,0,No_Deposit,15,NULL,0,Transient,225.6,none,0,2017-08-21
53,Resort_Hotel,236,3,5,2,BB,PRT,Direct,Direct,0,0,1,A,C,2,No_Deposit,250,NULL,0,Transient,113.63,parking,1,2017-07-02
54,Resort_Hotel,187,2,5,2,HB,PRT,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,240,NULL,0,Transient,140,none,1,2017-07-03
55,Resort_Hotel,0,0,2,2,BB,PRT,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,240,NULL,0,Transient,192.5,none,1,2017-07-28
56,Resort_Hotel,260,4,10,2,BB,GBR,Offline_TA/TO,TA/TO,0,0,0,D,D,0,No_Deposit,243,NULL,0,Contract,68.4,none,1,2017-06-15
57,Resort_Hotel,25,0,3,3,BB,PRT,Direct,Direct,0,0,0,F,F,1,No_Deposit,NULL,NULL,0,Transient,335,none,2,2017-08-22
58,Resort_Hotel,23,2,2,2,BB,PRT,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,240,NULL,0,Transient,140,none,1,2017-06-09
59,Resort_Hotel,10,1,1,2,BB,PRT,Online_TA,Direct,0,0,1,G,G,0,No_Deposit,240,NULL,0,Transient,176,parking,3,2017-05-06
60,Resort_Hotel,2,1,0,2,BB,PRT,Online_TA,Direct,0,0,1,G,G,0,No_Deposit,240,NULL,0,Transient,152,parking,3,2017-05-08
61,Resort_Hotel,181,2,5,3,HB,PRT,Online_TA,Direct,0,0,1,A,A,1,No_Deposit,242,NULL,0,Transient,230.84,none,2,2017-08-04
